"id_identificacion";"id_directorio";"idrph";"region_h";"region_15_h";"r_p_c";"r_p_c_15";"esth";"esth_15";"sech";"tipo";"mesh";"vivh";"hogh";"ano_encuesta";"edadjh";"sexojh";"cursojh";"niveljh";"termino_niveljh";"cinejh";"proveedor";"nacionalidad";"conyugaljh";"informante";"grupo_edad";"totperh";"totmenh";"totmayh";"totfth";"totocuph";"totdesoh";"totffth";"perch";"percocuh";"grujh1";"cisejh";"b8jh";"b9jh";"b10jh";"b11jh";"b12jh";"ram_subcjh1";"ramjh1";"temjh";"b16jh";"meses_empleo";"tme";"b19jh";"hor_habjh";"hor_efejh";"gru_cesjh1";"cise_cesjh";"ram_cesjh1";"ss_t";"svar_t";"reg_t";"ing_t_d";"gan_t";"ing_t_cp";"ing_t_emp";"autoconsumo_t";"ahorroimp_t";"ing_t_i";"ing_t_i_ai";"ing_ot";"ing_t_t";"ing_t_t_ai";"ing_a_p";"ing_a_ob";"ing_a_t";"tipo_vivienda";"vivienda_otro";"div_imp";"alq_imp";"ing_cah";"ing_int";"ing_div";"ing_p_t";"jubvejez_t";"jubinvalidez_t";"montepio_t";"ing_jub";"porfand_t";"pdiscap_t";"pestado_t";"paliment_t";"potras_t";"ing_pen";"suf_t";"subotros_t";"ing_sube";"ing_subc";"becaest_t";"donaciones_t";"remesas_t";"ing_bdr";"salext_t";"otrafuent_t";"ing_otros";"ing_aut";"ing_mon";"ing_total";"ing_prom";"ing_prom_aut";"cse_especificojh";"fact_cal_esi";"decilh";"ing_total_e"
86755;15751;427302;14;14;14107;14107;14039;14039;223;3;12;6;1;2012;54;1;2;3;2;3;"1";"0";1;"0";5;2;0;2;1;1;0;1;1;0;9;2;;;;;;"";1;1;8;0;1;2;16;16;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"";999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;73,7007340369801;1;0
112048;5110;560828;6;6;6106;6106;6022;6022;204;2;11;3;1;2012;18;1;4;4;1;5;"1";"0";3;"1";1;1;0;1;1;1;0;0;1;0;7;2;;;;;;"";6;1;2;0;1;2;40;40;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;454,324509409634;1;0
114774;4025;558318;7;7;7301;7301;7022;7022;202;2;10;11;1;2012;50;1;3;3;2;3;"1";"0";4;"1";5;3;0;3;3;3;0;0;1;0;9;3;2;1;1;4;1;"";1;2;8;0;1;2;45;45;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;210,21733592597;1;0
118687;14956;548301;13;13;13301;13301;13471;13471;;1;12;9;1;2012;21;1;4;4;1;5;"1";"0";1;"1";1;1;0;1;1;1;0;0;1;0;9;2;;;;;;"";7;1;6;0;1;2;48;48;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;123,287666080062;1;0
119785;16732;551905;13;13;13501;13501;13411;13411;;1;10;2;1;2012;40;1;4;5;1;5;"1";"0";1;"1";4;2;0;2;0;0;0;2;1;0;;0;;;;;;"";;;;;;;;;7;"3";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;180,099772912386;1;0
120429;15130;555017;13;13;13110;13110;13241;13241;;1;10;8;1;2012;27;1;1;7;2;6;"1";"0";2;"0";2;3;1;2;2;1;1;0;1;0;7;3;2;2;;4;1;"";6;2;7;0;1;2;18;18;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;313,846101438127;1;0
121806;15375;561682;11;11;11101;11101;11011;11011;;1;11;2;1;2012;45;1;8;3;1;4;"1";"0";3;"1";5;1;0;1;0;0;0;1;1;0;;0;;;;;;"";;;;;;;;;7;"2";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;35,0884809839082;1;0
122889;16788;567018;5;5;5101;5101;5101;5101;;1;11;23;1;2012;25;2;3;9;2;7;"1";"0";3;"1";2;1;0;1;0;0;0;1;1;0;;0;;;;;;"";;;;;;;;;5;"3";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"";999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;38,1171675913971;1;0
123110;15559;568135;3;3;3101;3101;3021;3021;;1;12;7;1;2012;26;1;4;5;1;5;"1";"0";2;"1";2;3;1;2;1;1;0;1;1;0;7;3;1;1;2;2;2;"4";4;4;7;0;1;2;16;16;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"";999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;83,1035730829728;1;0
125063;17073;577729;13;13;13401;13401;13381;13381;;1;10;6;1;2012;55;1;8;3;1;4;"1";"0";1;"1";6;2;0;2;2;0;2;0;1;0;;0;;;;;;"";;;;;;;;;7;"3";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;186,66720056508;1;0
126201;17010;583391;6;6;6101;6101;6011;6011;;1;10;5;2;2012;29;2;8;3;1;4;"1";"0";3;"1";2;1;0;1;1;0;1;0;1;0;;0;;;;;;"";;;;;;;;;9;"3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;123,777968978964;1;0
127775;9450;590777;13;13;13121;13121;13221;13221;;1;11;4;1;2012;53;1;4;4;1;5;"1";"0";1;"1";5;1;0;1;1;1;0;0;1;0;7;2;;;;;;"";6;1;2;0;1;2;32;32;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;519,696424068068;1;0
130637;10514;604825;13;13;13123;13123;13291;13291;;1;10;2;1;2012;67;2;2;9;2;7;"0";"40017";1;"1";7;2;0;2;0;0;0;2;1;0;;0;;;;;;"";;;;;;;;;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;456,280432224308;1;0
131468;9141;608945;16;8;16101;8401;16011;8011;;1;10;9;1;2012;23;2;4;8;1;6;"1";"0";3;"1";1;2;0;2;2;0;2;0;1;0;;0;;;;;;"";;;;;;;;;5;"3";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;184,617757619693;1;0
132330;11161;612985;13;13;13119;13119;13131;13131;;1;11;4;1;2012;47;2;4;4;1;5;"1";"0";3;"0";5;2;0;2;2;2;0;0;1;0;9;3;1;2;;2;2;"11";9;3;1;0;1;2;45;45;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"";999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;222,681703361645;1;0
134592;13018;647590;2;2;2201;2201;2021;2021;;1;12;4;1;2012;27;1;4;4;1;5;"1";"20014";5;"1";2;1;0;1;0;0;0;1;1;0;;0;;;;;;"";;;;;;;;;7;"3";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;262,294385224273;1;0
134813;15588;624807;5;5;5804;5804;5131;5131;;1;12;6;3;2012;25;2;4;4;1;5;"1";"0";3;"1";2;1;0;1;1;1;0;0;1;0;4;3;2;1;2;4;1;"";4;2;1;0;1;2;45;45;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;62,1608407507312;1;0
134902;13163;648403;7;7;7101;7101;7041;7041;;1;12;15;1;2012;23;1;5;9;1;7;"1";"0";1;"1";1;2;0;2;0;0;0;2;1;0;;0;;;;;;"";;;;;;;;;2;"3";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;116,760227886665;1;0
136671;18736;633674;13;13;13302;13302;13332;13332;16;2;10;9;1;2012;64;1;6;3;1;3;"1";"0";4;"1";6;1;0;1;1;1;0;0;1;0;7;3;1;1;3;4;1;"";6;1;1;0;1;2;40;40;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;182,265063678509;1;0
137394;18881;637180;13;13;13119;13119;13131;13131;;1;11;1;1;2012;48;1;4;4;1;5;"1";"0";5;"1";5;1;0;1;1;1;0;0;1;0;8;3;2;2;;4;1;"";9;1;6;0;1;2;72;72;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"";20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;189,260302006148;1;0
138152;18347;664412;8;8;8301;8301;8131;8131;;1;11;1;1;2012;41;1;2;8;2;6;"1";"0";3;"1";4;1;0;1;1;1;0;0;1;0;7;3;1;1;2;2;2;"6";6;4;7;0;1;2;45;7;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;582,814836197241;1;0
138585;17280;642585;5;5;5101;5101;5101;5101;;1;11;15;1;2012;45;2;2;9;2;7;"1";"0";5;"1";5;1;0;1;1;1;0;0;1;0;4;3;1;1;3;2;1;"";13;5;1;0;1;2;45;45;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;37,0062297133897;1;0
139234;19036;645644;5;5;5501;5501;5071;5071;;1;12;3;1;2012;32;1;4;4;1;5;"1";"0";3;"1";3;2;0;2;2;2;0;0;1;0;9;1;;;;;;"";7;1;6;0;1;2;70;70;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;272,864503168833;1;0
140853;16386;683343;13;13;13401;13401;13381;13381;;1;10;12;1;2012;23;1;6;3;2;3;"1";"0";2;"0";1;3;1;2;2;1;1;0;1;0;7;3;2;1;2;2;3;"11";6;4;7;0;1;2;45;27;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;59,5696539368189;1;0
140925;19225;653955;7;7;7304;7304;7022;7022;86;2;10;8;1;2012;33;1;4;4;1;5;"1";"0";3;"1";3;1;0;1;1;1;0;0;1;0;8;3;1;2;;2;1;"";4;3;1;0;1;2;45;45;;"";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;294,107827069837;1;0
140982;16389;654241;8;8;8301;8301;8131;8131;;1;10;4;1;2012;62;1;4;6;2;5;"1";"0";2;"1";6;2;0;2;0;0;0;2;1;0;;0;;;;;;"";;;;;;;;;7;"3";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;25,1078060062705;1;0
